Publication_code,Author,Year,Title,Comparison_identifier,Animal,Strain,Sex,Comorbidity,Comorbidity_induction,Age_weeks_min,Age_weeks_mean,Age_weeks_max,Weight_g_min,Weight_g_mean,Weight_g_max,N_control_groups,N_animals_control,N_treatment_groups,N_animals_treatment,Surgery_primary_anaesthetic,Surgery_secondary_anaesthetic,Surgery_tertiary_anaesthetic,Induction_primary_anaesthetic,Induction_secondary_anaesthetic,Induction_tertiary_anaesthetic,ET_administration_route,ET_brain_depth,MCA_occluded,Conscious,Induction_time_hrs,ET_dose,ET_dose_units,ET_volume_uL,ET_dose_pmol,ET_administration_mins,ET_administration_sites,Primary_analgesic,Secondary_analgesic,Antibiotic,Treatment,Treatment_class,Treatment_initial_hour,Treatment_time_class,Infarct_measure_hrs,Infarct_measurement,Histology_stain,Reported_p_value,Infarct_mean_control,Infarct_error_control,Infarct_mean_treatment,Infarct_error_treatment,Infarct_units,Infarct_error_units,Infarct_percent_control,Infarct_percent_treatment,Infarct_SD_control,Infarct_SD_control_percent,Infarct_SD_treatment
Gelb_2002,"Gelb, A. W.",2002,Propofol anesthesia compared to awake reduces infarct size in rats,b,Rat,Wistar,Male,None,NA,NR,NR,NR,250,300,350,1,21,3,7,Sodium Pentobarbital,NA,NA,Propofol,NA,NA,Guide cannula,Subcortical,No,Unconscious,96,6,pmol,3,6,2,1,NR,NA,NR,None,NA,NA,NA,72,Other histology (ex vivo),H&E,<0.05,0.7,0.21,NA,NA,mm3,SEM,0.035514967,NA,0.962340896,0.048825007,NA
Gilmour_2005,"Gilmour, G.",2005,Amphetamine promotes task-dependent recovery following focal cortical ischaemic lesions in the rat,a,Rat,Lister Hooded Rat,Male,None,NA,NR,NR,NR,250,275,300,1,10,1,10,Tribromoethanol,NA,NA,Tribromoethanol,NA,NA,Needle,Cortical,No,Unconscious,0,1,ug/mL,1,0.401284109,15,3,NR,NA,Tribrissen,Amphetamine (AMP),Not yet classified,48,After stroke,768,Other histology (ex vivo),Solochrome blue,NS,8.18,2.33,7.96,2.3,mm3,SEM,0.415017757,0.403855911,7.368106948,0.373825822,7.273238618
Giuliani_2007,"Giuliani, D.",2007,Neuroprotection in focal cerebral ischemia owing to delayed treatment with melanocortins,a,Rat,Wistar,Male,None,NA,NR,NR,NR,210,220,230,1,8,2,8,Chloral hydrate,NA,NA,Chloral hydrate,NA,NA,Needle,Subcortical,No,Unconscious,0,0.43,nmol,1,430,10,1,NR,NA,NR,Melanocortin,Not yet classified,9,After stroke,264,Other histology (ex vivo),H&E,NS,1.1,0.03,0.99,0.06,mm3,SEM,0.055809234,0.050228311,0.084852814,0.004305064,0.169705627
Gomez-Smith_2018,"Gomez-Smith, M.",2018,Reduced Cerebrovascular Reactivity and Increased Resting Cerebral Perfusion in Rats Exposed to a Cafeteria Diet,a,Rat,Sprague-Dawley,Male,None,NA,NA,3,NA,NR,NR,NR,1,6,2,6,Isoflurane,NA,NA,Isoflurane,NA,NA,Needle,Cortical,No,Unconscious,0,400,pmol/uL,4,1600,NR,2,Buprenorphine,Bupivacaine,NR,Diet change,Harm induction,-2856,Before stroke,168,Other histology (ex vivo),H&E,NR,66.53,14.27,71.26,10.55,mm3,SEM,3.375443937,3.615423643,34.95421863,1.773425603,25.84211679
Henrich-Noack_2006,"Henrich-Noack, P.",2006,Preconditioning with thrombin can be protective or worsen damage after endothelin-1-induced focal ischemia in rats,a,Rat,Sprague-Dawley,Male,None,NA,NR,NR,NR,250,275,300,3,14,3,14,Sodium Pentobarbital,NA,NA,None,NA,NA,Guide cannula,Cortical,Yes,Conscious,336,250,pmol,2,250,2,1,NR,NA,NR,Thrombin,Not yet classified,-168,Before stroke,168,Other histology (ex vivo),Nissl,<0.05,26.5,6.5,9.9,2,mm3,SEM,1.34449518,0.502283105,24.32077301,1.233930645,7.483314774
Henshall_1999,"Henshall, D. C.",1999,A rat model of endothelin-3-induced middle cerebral artery occlusion with controlled reperfusion,a,Rat,Sprague-Dawley,Male,None,NA,NR,NR,NR,280,300,320,1,9,3,9,Halothane,Nitrous oxide,NA,Halothane,Nitrous oxide,NA,Guide cannula,Cortical,No,Unconscious,0,100,pmol,2,100,3,1,NR,NA,NR,FR139317,Not yet classified,0.16,After stroke,72,Other histology (ex vivo),Thionine,<0.05,132.54,85.62,12.32,8.22,mm3,SD,6.724505327,0.62506342,85.62,4.343987823,8.22
Hewlett_2006,"Hewlett, K. A.",2006,Delayed minocycline treatment reduces long-term functional deficits and histological injury in a rodent model of focal ischemia,a,Rat,Sprague-Dawley,Male,None,NA,NR,NR,NR,NA,300,NA,1,9,1,9,Isoflurane,Nitrous oxide,NA,Isoflurane,Nitrous oxide,NA,Needle,Both cortical and subcortical,No,Unconscious,0,400,pmol/uL,5,2000,NR,3,NR,NA,NR,Minocycline,Not yet classified,2,After stroke,720,Other histology (ex vivo),H&E,<0.05,78.41,10.38,47.27,9.54,mm3,SEM,3.978183663,2.398274987,31.14,1.579908676,28.62
Hicks_2007,"Hicks, A. U.",2007,Enriched environment enhances transplanted subventricular zone stem cell migration and functional recovery after stroke,a,Rat,Sprague-Dawley,Male,None,NA,NR,NR,NR,300,325,350,1,24,2,10,Isoflurane,Nitrous oxide,NA,Isoflurane,Nitrous oxide,NA,Needle,Cortical,Yes,Unconscious,0,1200,pmol,3,1200,10,1,NR,NA,NR,NSC (neural stem cell) transplantation,Not yet classified,168,After stroke,NR,Other histology (ex vivo),Cresyl violet,NS,82.5,10,50.9,12.6,mm3,SEM,4.185692542,2.582445459,48.98979486,2.485529927,61.72714152
Hicks_2008,"Hicks, A. U.",2008,Long-term assessment of enriched housing and subventricular zone derived cell transplantation after focal ischemia in rats,a,Rat,Sprague-Dawley,Male,None,NA,NA,13,NA,320,335,350,3,7,9,7,Isoflurane,Nitrous oxide,NA,Isoflurane,Nitrous oxide,NA,Needle,Cortical,Yes,Unconscious,0,1200,pmol,3,1200,10,1,NR,NA,NR,Enriched cage environment,Not yet classified,168,After stroke,2184,Other histology (ex vivo),Cresyl violet,NS,51.52,9.38,31.5,11.93,mm3,SEM,2.613901573,1.598173516,24.8171473,1.259114526,31.56381314
Hicks_2008,"Hicks, A. U.",2008,Long-term assessment of enriched housing and subventricular zone derived cell transplantation after focal ischemia in rats,b,Rat,Sprague-Dawley,Male,None,NA,NA,13,NA,320,335,350,3,7,9,7,Isoflurane,Nitrous oxide,NA,Isoflurane,Nitrous oxide,NA,Needle,Cortical,Yes,Unconscious,0,1200,pmol,3,1200,10,1,NR,NA,NR,NSC (neural stem cell) transplantation,Not yet classified,168,After stroke,2184,Other histology (ex vivo),Cresyl violet,NS,51.52,9.38,29.06,10.53,mm3,SEM,2.613901573,1.474378488,24.8171473,1.259114526,27.85976131
Hicks_2000,"Hicks, C. A.",2000,"Neuroprotective effects of the neuronal Ca(2+) channel blockers, LY042826 and LY393615 in vivo",a,Rat,NR,NR,None,NA,NR,NR,NR,NR,NR,NR,1,12.5,2,12.5,NR,NA,NA,NR,NA,NA,Guide cannula,Cortical,Yes,Unconscious,0,200,pmol,3,200,3,1,NR,NA,NR,MK-801 (dizocilpine maleate),Not yet classified,0,During stroke,72,Other histology (ex vivo),Cresyl violet,<0.05,142.59,9.4,95.76,9.75,mm3,SEM,7.234398782,4.858447489,33.23401872,1.686150112,34.47145558
Hicks_2000,"Hicks, C. A.",2000,"Neuroprotective effects of the neuronal Ca(2+) channel blockers, LY042826 and LY393615 in vivo",b,Rat,NR,NR,None,NA,NR,NR,NR,NR,NR,NR,1,12.5,2,12.5,NR,NA,NA,NR,NA,NA,Guide cannula,Cortical,Yes,Unconscious,0,200,pmol,3,200,3,1,NR,NA,NR,LY 042826,Not yet classified,0,During stroke,72,Other histology (ex vivo),Cresyl violet,<0.05,142.59,9.4,104.6,6.84,mm3,SEM,7.234398782,5.306950786,33.23401872,1.686150112,24.18305192
Hicks_2000,"Hicks, C. A.",2000,"Neuroprotective effects of the neuronal Ca(2+) channel blockers, LY042826 and LY393615 in vivo",c,Rat,NR,NR,None,NA,NR,NR,NR,NR,NR,NR,1,12.5,1,12.5,NR,NA,NA,NR,NA,NA,Guide cannula,Cortical,Yes,Unconscious,0,200,pmol,3,200,3,1,NR,NA,NR,LY 393615,Not yet classified,0,During stroke,72,Other histology (ex vivo),Cresyl violet,<0.01,174.02,14.1,112.79,14.7,mm3,SEM,8.829020802,5.722475901,49.85102807,2.529225169,51.97234842
Huang_2007,"Huang, Z. X.",2007,Therapeutic effects of hyperbaric oxygen in a rat model of endothelin-1-induced focal cerebral ischemia,a,Rat,Sprague-Dawley,Male,None,NA,NR,NR,NR,280,300,320,1,9,1,8,Sodium Pentobarbital,NA,NA,Sodium Pentobarbital,NA,NA,Needle,Cortical,No,Unconscious,0,NR,NA,3,NA,5,1,NR,NA,NR,Hyperbaric oxygen therapy,Not yet classified,1,After stroke,24,TTC (ex vivo),NA,<0.01,13.41,2.74,5.44,2.08,Direct rLV % whole brain,SD,13.41,5.44,2.74,2.74,2.08
Hume_2020,"Hume, A. W.",2020,Endothelin-1-Induced Ischemic Damage and Functional Impairment Is Mediated Primarily by NR2B-Containing NMDA Receptors,a,Rat,Sprague-Dawley,Male,None,NA,NR,NR,NR,NA,300,NA,1,9,2,8,Isoflurane,NA,NA,Isoflurane,NA,NA,Needle,Both cortical and subcortical,No,Unconscious,0,400,pmol/uL,5,2000,10,3,NR,NA,NR,Ro25-6981,Not yet classified,-0.25,Before stroke,360,Other histology (ex vivo),Cresyl violet,0.005,39.1,6.1,19.1,2.4,mm3,SEM,1.983764587,0.969051243,18.3,0.928462709,7.2
Hume_2020,"Hume, A. W.",2020,Endothelin-1-Induced Ischemic Damage and Functional Impairment Is Mediated Primarily by NR2B-Containing NMDA Receptors,b,Rat,Sprague-Dawley,Male,None,NA,NR,NR,NR,NA,300,NA,1,9,2,8,Isoflurane,NA,NA,Isoflurane,NA,NA,Needle,Both cortical and subcortical,No,Unconscious,0,400,pmol/uL,5,2000,10,3,NR,NA,NR,MK-801 (dizocilpine maleate),Not yet classified,-0.25,Before stroke,360,Other histology (ex vivo),Cresyl violet,0.014,39.1,6.1,21.9,4,mm3,SEM,1.983764587,1.111111111,18.3,0.928462709,12
Jain_2016,"Jain, S.",2016,Transgenic Mice Overexpressing Human Angiotensin I Receptor Gene Are Susceptible to Stroke Injury,a,Mouse,C57BL/6,Male,None,NA,13,17.5,22,NR,NR,NR,1,9,NA,NA,Isoflurane,NA,NA,Isoflurane,NA,NA,Needle,Subcortical,No,Unconscious,0,1,mg/ml,1,401.2841091,10,1,NR,NA,NR,None,NA,NA,NA,72,TTC (ex vivo),NA,NA,1.65,0.28,NA,NA,Direct rLV % hemisphere,NR,0.825,NA,NA,NA,NA
Jain_2016,"Jain, S.",2016,Transgenic Mice Overexpressing Human Angiotensin I Receptor Gene Are Susceptible to Stroke Injury,b,Mouse,Hap-I,Male,None,NA,13,17.5,22,NR,NR,NR,1,9,NA,NA,Isoflurane,NA,NA,Isoflurane,NA,NA,Needle,Subcortical,No,Unconscious,0,1,mg/ml,1,401.2841091,10,1,NR,NA,NR,None,NA,NA,NA,72,TTC (ex vivo),NA,<0.05,5.8,0.32,NA,NA,Direct rLV % hemisphere,NR,2.9,NA,NA,NA,NA
Jain_2016,"Jain, S.",2016,Transgenic Mice Overexpressing Human Angiotensin I Receptor Gene Are Susceptible to Stroke Injury,c,Mouse,Hap-II,Male,None,NA,13,17.5,22,NR,NR,NR,1,9,NA,NA,Isoflurane,NA,NA,Isoflurane,NA,NA,Needle,Subcortical,No,Unconscious,0,1,mg/ml,1,401.2841091,10,1,NR,NA,NR,None,NA,NA,NA,72,TTC (ex vivo),NA,<0.05,2.9,0.42,NA,NA,Direct rLV % hemisphere,NR,1.45,NA,NA,NA,NA
Jeffers_2018,"Jeffers, M. S.",2018,Synergistic Effects of Enriched Environment and Task-Specific Reach Training on Poststroke Recovery of Motor Function,a,Rat,Sprague-Dawley,Male,None,NA,NR,NR,NR,300,335,370,1,7.5,2,7.5,Halothane,Nitrous oxide,NA,Halothane,Nitrous oxide,NA,Needle,Cortical,Yes,Unconscious,0,60,pmol/uL,3,180,3,1,NR,NA,NR,Enriched cage environment,Not yet classified,-336,Before stroke,1512,Other histology (ex vivo),Cresyl violet,<0.05,394.67,13.41319313,120.99,48.41867408,mm3,SD,20.02384576,6.138508371,13.41319313,0.680527302,48.41867408
Jeffers_2018,"Jeffers, M. S.",2018,Synergistic Effects of Enriched Environment and Task-Specific Reach Training on Poststroke Recovery of Motor Function,b,Rat,Sprague-Dawley,Male,None,NA,NR,NR,NR,300,335,370,1,7.5,2,7.5,Halothane,Nitrous oxide,NA,Halothane,Nitrous oxide,NA,Needle,Cortical,Yes,Unconscious,0,60,pmol/uL,3,180,3,1,NR,NA,NR,Motor training,Not yet classified,-336,Before stroke,1512,Other histology (ex vivo),Cresyl violet,<0.05,394.67,13.41319313,120.84,68.62972388,mm3,SD,20.02384576,6.130898021,13.41319313,0.680527302,68.62972388
Joo_2012,"Joo, H. W.",2012,Influence of constraint-induced movement therapy upon evoked potentials in rats with cerebral infarction,a,Rat,Sprague-Dawley,Male,None,NA,NR,NR,NR,250,300,350,1,10,1,10,Tiletamine-Zolazepam,Xylazine,NA,Tiletamine-Zolazepam,Xylazine,NA,Needle,Cortical,No,Unconscious,0,1,ug/uL,8,3210.272873,16,1,NR,NA,Unspecified antibiotic,CIMT (Constraint-induced movement therapy),Not yet classified,24,After stroke,672,Other histology (ex vivo),Cresyl violet,NS,2.02,0.95,1.33,0.44,mm3,SD,0.102486048,0.067478437,0.95,0.048198884,0.44
Kerr_2018,"Kerr, A. L.",2018,Poststroke exercise is as effective as skilled rehabilitation: Effects in young and aged mice,a,Mouse,C57BL/6,Male,None,NA,NA,17,NA,NR,NR,NR,1,12,2,12,Ketamine,Xylazine,NA,Ketamine,Xylazine,NA,Needle,Cortical,No,Unconscious,0,0.2,ug/uL,4,321.0272873,10,1,Buprenorphine,NA,NR,Motor training,Not yet classified,120,After stroke,432,Other histology (ex vivo),Toluidine blue,NR,0.72,0.09,0.66,0.05,mm3,SEM,0.141478847,0.129688943,0.311769145,0.061262138,0.173205081
Kerr_2018,"Kerr, A. L.",2018,Poststroke exercise is as effective as skilled rehabilitation: Effects in young and aged mice,b,Mouse,C57BL/6,Male,None,NA,NA,17,NA,NR,NR,NR,1,12,2,14,Ketamine,Xylazine,NA,Ketamine,Xylazine,NA,Needle,Cortical,No,Unconscious,0,0.2,ug/uL,4,321.0272873,10,1,Buprenorphine,NA,NR,Exercise therapy,Not yet classified,120,After stroke,432,Other histology (ex vivo),Toluidine blue,NR,0.72,0.09,0.67,0.06,mm3,SEM,0.141478847,0.131653927,0.311769145,0.061262138,0.207846097
Kerr_2018,"Kerr, A. L.",2018,Poststroke exercise is as effective as skilled rehabilitation: Effects in young and aged mice,c,Mouse,C57BL/6,Male,Aged,NA,70,74,78,NR,NR,NR,1,8,2,8,Ketamine,Xylazine,NA,Ketamine,Xylazine,NA,Needle,Cortical,No,Unconscious,0,0.2,ug/uL,3,240.7704655,10,1,Buprenorphine,NA,NR,Motor training,Not yet classified,120,After stroke,432,Other histology (ex vivo),Toluidine blue,NR,0.85,0.09,0.7,0.04,mm3,SEM,0.167023639,0.137548879,0.254558441,0.050020326,0.113137085
Kerr_2018,"Kerr, A. L.",2018,Poststroke exercise is as effective as skilled rehabilitation: Effects in young and aged mice,d,Mouse,C57BL/6,Male,Aged,NA,74,78.5,83,NR,NR,NR,1,8,2,9,Ketamine,Xylazine,NA,Ketamine,Xylazine,NA,Needle,Cortical,No,Unconscious,0,0.2,ug/uL,3,240.7704655,10,1,Buprenorphine,NA,NR,Exercise therapy,Not yet classified,120,After stroke,432,Other histology (ex vivo),Toluidine blue,NR,0.85,0.09,0.73,0.09,mm3,SEM,0.167023639,0.143443831,0.254558441,0.050020326,0.254558441
Kerr_2013,"Kerr, A. L.",2013,Post-stroke protection from maladaptive effects of learning with the non-paretic forelimb by bimanual home cage experience in C57BL/6 mice,a,Mouse,C57BL/6,Male,None,NA,NA,13,NA,NR,NR,NR,1,11,NA,NA,Ketamine,Xylazine,NA,Ketamine,Xylazine,NA,Needle,Cortical,No,Unconscious,0,320,pmol,3,320,10,1,Lidocaine,Buprenorphine,Topical antibiotic,None,NA,NA,NA,648,Other histology (ex vivo),Toluidine blue,NA,0.73,0.15,NA,NA,mm3,NR,0.143443831,NA,NA,NA,NA
Klimaschewski_2016,"Klimaschewski, L.",2016,siRNA mediated down-regulation of Sprouty2/4 diminishes ischemic brain injury,a,Rat,Sprague-Dawley,Mixed,None,NA,9,11,13,NR,NR,NR,1,11,1,14,Ketamine,Xylazine,NA,Ketamine,Xylazine,NA,Needle,Cortical,No,Unconscious,0,0.5,ug/uL,1,200.6420546,60,1,NR,NA,NR,siRNA injection,Not yet classified,0,During stroke,504,Other histology (ex vivo),Nissl,NR,4.33,4.23,0.7,0.88,mm3,SD,0.219685439,0.035514967,4.23,0.214611872,0.88
Krstew_2001,"Krstew, E. V.",2001,Neuroprotective effects of mild hyperthermia prior to focal ischemia in conscious rats,a,Rat,Wistar,Male,None,NA,NR,NR,NR,280,300,320,1,5,1,5,Sodium Pentobarbital,Methohexital,NA,None,NA,NA,Guide cannula,Cortical,Yes,Conscious,72,120,pmol,6,120,6,1,Lidocaine,NA,NR,Stress (restraint),Not yet classified,-1,Before stroke,72,Other histology (ex vivo),Callaway 2000 no stain method,<0.05,236.64,73.57417006,83.34,48.86123719,mm3,SD,12.00608828,4.228310502,73.57417006,3.732834605,48.86123719
Lake_2015,"Lake, E. M.",2015,The effects of delayed reduction of tonic inhibition on ischemic lesion and sensorimotor function,a,Rat,Sprague-Dawley,Male,None,NA,NR,NR,NR,290,340,390,1,10,1,10,Isoflurane,NA,NA,Isoflurane,NA,NA,Needle,Cortical,No,Unconscious,0,800,pmol,4,800,4,2,Bupivacaine,NA,NR,"L-655,708",Nootropics/cognition,168,After stroke,504,MRI (in vivo),NA,NR,60,18,52,18,mm3,SEM,3.04414003,2.638254693,56.92099788,2.887924804,56.92099788
Langdon_2011,"Langdon, K. D.",2011,Long-term exposure to high fat diet is bad for your brain: exacerbation of focal ischemic brain injury,a,Rat,Sprague-Dawley,Male,None,NA,NA,17,NA,NA,550,NA,2,13,2,12,Isoflurane,Nitrous oxide,NA,Isoflurane,Nitrous oxide,NA,Needle,Both cortical and subcortical,No,Unconscious,0,400,pmol/uL,5,2000,NR,3,NR,NA,NR,Diet change,Harm induction,-2184,Before stroke,720,Other histology (ex vivo),Cresyl violet,<0.04,53.97,10.5,88.49,11.73,mm3,SEM,2.738203957,4.489599188,37.85828839,1.92076552,42.29311646
Leasure_2010,"Leasure, J. L.",2010,The effect of mild post-stroke exercise on reactive neurogenesis and recovery of somatosensation in aged rats,a,Rat,Fischer 344,Male,Aged,NA,NA,78,NA,NR,NR,NR,1,10,1,11,Ketamine,Xylazine,NA,Ketamine,Xylazine,NA,Needle,Cortical,No,Unconscious,0,0.2,ug/uL,2,160.5136437,NR,1,NR,NA,NR,Motor training,Not yet classified,7,After stroke,840,Other histology (ex vivo),Nissl,NS,11.5,1.9,8.5,2,mm3,SEM,0.583460173,0.431253171,6.008327554,0.304836507,6.32455532
Liew_2015,"Liew, H. K.",2015,Granulocyte-Colony Stimulating Factor Increases Cerebral Blood Flow via a NO Surge Mediated by Akt/eNOS Pathway to Reduce Ischemic Injury,a,Rat,Sprague-Dawley,Male,None,NA,NR,NR,NR,250,300,350,1,22,2,28,Sodium Pentobarbital,Urethane,NA,Sodium Pentobarbital,Urethane,NA,Needle,Cortical,Yes,Unconscious,0,400,pmol,10,400,10,1,NR,NA,NR,G-CSF (Granulocyte-colony stimulating factor),Not yet classified,0,During stroke,24,TTC (ex vivo),NA,<0.05,287.07,51.25,103.91,24.68,mm3,SEM,14.56468798,5.271943176,240.3838077,12.19603286,115.759461
Livingston-Thomas_2013,"Livingston-Thomas, J. M.",2013,A novel approach to induction and rehabilitation of deficits in forelimb function in a rat model of ischemic stroke,a,Rat,Sprague-Dawley,Male,None,NA,NR,NR,NR,300,325,350,1,11,1,11,Isoflurane,NA,NA,Isoflurane,NA,NA,Needle,Both cortical and subcortical,No,Unconscious,0,400,pmol/uL,5,2000,10,5,Lidocaine,Butorphanol,NR,Motor training,Not yet classified,120,After stroke,504,Other histology (ex vivo),Cresyl violet,NS,12.2,3,10.7,2,mm3,SEM,0.61897514,0.542871639,9.949874371,0.504813515,6.633249581
Livingston-Thomas_2014,"Livingston-Thomas, J. M.",2014,Voluntary forced use of the impaired limb following stroke facilitates functional recovery in the rat,a,Rat,Sprague-Dawley,Male,None,NA,NR,NR,NR,300,325,350,1,9,1,9,Isoflurane,NA,NA,Isoflurane,NA,NA,Needle,Both cortical and subcortical,No,Unconscious,0,400,pmol/uL,5,2000,10,5,Lidocaine,Butorphanol,NR,Motor training,Not yet classified,72,After stroke,720,Other histology (ex vivo),Cresyl violet,NS,10.6,5.7,25.7,8.6,mm3,SEM,0.537798072,1.303906646,17.1,0.867579909,25.8
Machado_2013,"Machado, A. G.",2013,Chronic 30-Hz deep cerebellar stimulation coupled with training enhances post-ischemia motor recovery and peri-infarct synaptophysin expression in rodents,a,Rat,Sprague-Dawley,Male,None,NA,NR,NR,NR,200,212.5,225,1,14,1,18,Isoflurane,NA,NA,Isoflurane,NA,NA,Needle,Cortical,No,Unconscious,0,2400,pmol,6,2400,12,3,Buprenorphine,NA,NR,ES (electrical stimulation),Not yet classified,168,After stroke,840,Other histology (ex vivo),Cresyl violet,0.66,10.1,3.1,7.2,1.8,mm3,SEM,0.512430238,0.365296804,11.5991379,0.58849,6.734983296
MacLellan_2013,"MacLellan, C. L.",2013,A model of persistent learned nonuse following focal ischemia in rats,a,Rat,Sprague-Dawley,Male,None,NA,NA,13,NA,NA,300,NA,1,15,1,15,Isoflurane,Nitrous oxide,NA,Isoflurane,Nitrous oxide,NA,Needle,Both cortical and subcortical,No,Unconscious,0,400,pmol/uL,5,2000,10,3,NR,NA,NR,Motor training,Not yet classified,168,After stroke,1512,Other histology (ex vivo),Cresyl violet,NS,68.16,10.75,63.38,8.36,mm3,SEM,3.458143075,3.215626585,41.63457097,2.112357736,32.37814077
Mansoori_2014,"Mansoori, B. K.",2014,Acute inactivation of the contralesional hemisphere for longer durations improves recovery after cortical injury,a,Rat,Sprague-Dawley,NR,None,NA,NA,13,NA,250,275,300,1,9,4,9,Ketamine,Isoflurane,NA,Ketamine,Isoflurane,NA,Needle,Cortical,No,Unconscious,0,0.3,ug/uL,2,240.7704655,12,6,NR,NA,NR,Muscimol,Not yet classified,2,After stroke,336,Other histology (ex vivo),Nissl,NS,7.43,0.47,8.23,0.47,Indirect rLV % hemisphere,SD,3.715,4.115,0.47,0.235,0.47
Martínez-Murillo_2009,"Martínez-Murillo, R.",2009,Whole-body periodic acceleration reduces brain damage in a focal ischemia model,a,Rat,Wistar,Male,None,NA,NR,NR,NR,250,300,350,1,5,1,5,Isoflurane,NA,NA,Isoflurane,NA,NA,Needle,Subcortical,No,Unconscious,0,0.2,ug/uL,2,160.5136437,6,1,NR,NA,NR,Periodic acceleration,Not yet classified,0,During stroke,168,MRI (in vivo),NA,<0.05,9.5,3,1.58,0.54,mm3,SEM,0.481988838,0.080162354,6.708203932,0.340345202,1.207476708
Mastroiacovo_2009,"Mastroiacovo, F.",2009,"Induction of the Wnt antagonist, Dickkopf-1, contributes to the development of neuronal death in models of brain focal ischemia",a,Rat,Wistar,Male,None,NA,NR,NR,NR,270,290,310,1,10,1,10,Ketamine,Xylazine,NA,None,NA,NA,Guide cannula,Cortical,Yes,Conscious,108,150,pmol,3,150,3,1,NR,NA,NR,Lithium (LiCl),Not yet classified,-168,Before stroke,72,Other histology (ex vivo),Nissl,<0.05,48.82,10.3,16.04,3.61,mm3,SEM,2.476915271,0.813800101,32.5714599,1.652534749,11.41582235
Mastroiacovo_2017,"Mastroiacovo, F.",2017,Genetic deletion of mGlu2 metabotropic glutamate receptors improves the short-term outcome of cerebral transient focal ischemia,a,Rat,Wistar,Male,None,NA,NR,NR,NR,270,310,350,1,10,NA,NA,Ketamine,Xylazine,NA,None,NA,NA,Guide cannula,Cortical,Yes,Conscious,372,200,pmol,3,200,NR,1,NR,NA,Enrofloxacin,None,NA,NA,NA,72,Other histology (ex vivo),Thionine,NA,64.24,11.58,NA,NA,mm3,SEM,3.259259259,NA,36.6191753,1.85789829,NA
Mastroiacovo_2017,"Mastroiacovo, F.",2017,Genetic deletion of mGlu2 metabotropic glutamate receptors improves the short-term outcome of cerebral transient focal ischemia,b,Rat,Han–Wist,Male,None,NA,NR,NR,NR,270,310,350,1,12,NA,NA,Ketamine,Xylazine,NA,None,NA,NA,Guide cannula,Cortical,Yes,Conscious,372,200,pmol,3,200,NR,1,NR,NA,Enrofloxacin,None,NA,NA,NA,72,Other histology (ex vivo),Thionine,NA,62.5,12.53,NA,NA,mm3,SEM,3.170979198,NA,43.40519324,2.202191438,NA
McCarthy_2015,"McCarthy, C. A.",2015,PcTx1 affords neuroprotection in a conscious model of stroke in hypertensive rats via selective inhibition of ASIC1a,a,Rat,Spontaneously Hypertensive Rat (SHR),Male,Hypertension,Genetic,NA,20,NA,300,325,350,1,10,2,9,Ketamine,Xylazine,NA,None,NA,NA,Guide cannula,Cortical,Yes,Conscious,120,20,pmol/uL,NR,NA,NR,1,NR,NA,NR,PcTx1,Not yet classified,2,After stroke,72,Other histology (ex vivo),NeuN,<0.05,147,75.96051606,56,31.15381197,mm3,SD,7.458143075,2.841197362,75.96051606,3.853907461,31.15381197
McCarthy_2009,"McCarthy, C. A.",2009,Angiotensin AT2 receptor stimulation causes neuroprotection in a conscious rat model of stroke,a,Rat,Spontaneously Hypertensive Rat (SHR),Male,Hypertension,Genetic,15,15.5,16,270,295,320,1,11,5,6,Ketamine,Xylazine,NA,None,NA,NA,Guide cannula,Cortical,Yes,Conscious,120,20,pmol/uL,4,80,1.6,1,NR,NA,NR,CGP42112,Not yet classified,-120,Before stroke,72,Other histology (ex vivo),Callaway 2000 no stain method,<0.001,143.49,69.65048672,22.4,14.55487547,mm3,SD,7.280060883,1.136478945,69.65048672,3.533763913,14.55487547
McCarthy_2009,"McCarthy, C. A.",2009,Angiotensin AT2 receptor stimulation causes neuroprotection in a conscious rat model of stroke,b,Rat,Spontaneously Hypertensive Rat (SHR),Male,Hypertension,Genetic,15,15.5,16,270,295,320,1,11,5,10,Ketamine,Xylazine,NA,None,NA,NA,Guide cannula,Cortical,Yes,Conscious,120,20,pmol/uL,4,80,1.6,1,NR,NA,NR,PD123319,Not yet classified,-120,Before stroke,72,Other histology (ex vivo),Callaway 2000 no stain method,NS,143.49,69.65048672,104.87,65.30394322,mm3,SD,7.280060883,5.320649417,69.65048672,3.533763913,65.30394322
McCarthy_2014,"McCarthy, C. A.",2014,"Direct angiotensin AT2 receptor stimulation using a novel AT2 receptor agonist, compound 21, evokes neuroprotection in conscious hypertensive rats",a,Rat,Spontaneously Hypertensive Rat (SHR),Male,Hypertension,Genetic,NR,NR,NR,330,340,350,1,12,3,11,Ketamine,Xylazine,NA,None,NA,NA,Guide cannula,Cortical,Yes,Conscious,120,20,pmol/uL,NR,NA,NR,1,NR,NA,NR,C21 144,Not yet classified,6,After stroke,72,Other histology (ex vivo),Callaway 2000 no stain method,<0.05,89.36,14.54,19.2,7.58,mm3,SEM,4.533739219,0.97412481,50.36803748,2.555455986,26.25789024
